,dataset,method,strategy,model,og_or_samp,balanced_accuracy,f1,precision,recall
424,pen_digits,SMOTEN,not minority,SVM,og,0.0,0.0,0.0,0.0
426,pen_digits,SMOTEN,not minority,KNN,og,0.0,0.0,0.0,0.0
428,pen_digits,SMOTEN,not minority,Tree,og,-0.003616866476943481,-0.005164033866162154,-0.003616866476943481,-0.006801373876874739
430,pen_digits,SMOTEN,not minority,Logistic,og,0.0,0.0,0.0,0.0
432,pen_digits,SMOTEN,not majority,SVM,og,-0.0015822784810126667,-0.0010488239349193407,-0.0015822784810126667,-0.0005181118580485089
434,pen_digits,SMOTEN,not majority,KNN,og,0.0,0.0,0.0,0.0
436,pen_digits,SMOTEN,not majority,Tree,og,0.00921198346575336,0.01605351628638263,0.00921198346575336,0.022758901866536396
438,pen_digits,SMOTEN,not majority,Logistic,og,-0.007853445278596882,0.008715091562962685,-0.007853445278596882,0.0241364686086023
440,pen_digits,SMOTEN,all,SVM,og,-0.0015822784810126667,-0.0010488239349193407,-0.0015822784810126667,-0.0005181118580485089
442,pen_digits,SMOTEN,all,KNN,og,0.0,0.0,0.0,0.0
444,pen_digits,SMOTEN,all,Tree,og,0.017688360353863786,0.02054952626046136,0.017688360353863786,0.023320615212902185
446,pen_digits,SMOTEN,all,Logistic,og,-0.007853445278596882,0.008715091562962685,-0.007853445278596882,0.0241364686086023
448,pen_digits,SVMSMOTE,minority,SVM,og,0.00045230951491825877,0.003097458206110959,0.00045230951491825877,0.005675190876295533
450,pen_digits,SVMSMOTE,minority,KNN,og,0.003560528992879064,0.00723309912406056,0.003560528992879064,0.010737970299767308
452,pen_digits,SVMSMOTE,minority,Tree,og,-0.0028249224152361307,0.00470869326370571,-0.0028249224152361307,0.012131381155535914
454,pen_digits,SVMSMOTE,minority,Logistic,og,0.012326641513321412,0.07543452608025014,0.012326641513321412,0.10244288406047697
456,pen_digits,SVMSMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
458,pen_digits,SVMSMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
460,pen_digits,SVMSMOTE,not minority,Tree,og,0.005255482442020676,0.004275641219383619,0.005255482442020676,0.0032313818724050147
462,pen_digits,SVMSMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
464,pen_digits,SVMSMOTE,not majority,SVM,og,0.0009609565139009346,0.004128557843028902,0.0009609565139009346,0.0071994849841150454
466,pen_digits,SVMSMOTE,not majority,KNN,og,0.003560528992879064,0.00723309912406056,0.003560528992879064,0.010737970299767308
468,pen_digits,SVMSMOTE,not majority,Tree,og,-0.007006773375226927,0.0005839022482714284,-0.007006773375226927,0.007983922374114938
470,pen_digits,SVMSMOTE,not majority,Logistic,og,0.008709775036377931,0.07121664832275698,0.008709775036377931,0.09865618404424148
472,pen_digits,SVMSMOTE,all,SVM,og,0.00045230951491825877,0.003097458206110959,0.00045230951491825877,0.005675190876295533
